time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.967578887939453,20.967578887939453,20.967578887939453,20.967578887939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,8,2048,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10411739349365234,0.10411739349365234,0.10411739349365234,0.10411739349365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,64,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26242733001708984,0.26242733001708984,0.26242733001708984,0.26242733001708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,128,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7782220840454102,0.7782220840454102,0.7782220840454102,0.7782220840454102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,256,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8243303298950195,2.8243303298950195,2.8243303298950195,2.8243303298950195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,512,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.480450630187988,11.480450630187988,11.480450630187988,11.480450630187988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,1024,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.143845558166504,42.143845558166504,42.143845558166504,42.143845558166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,16,2048,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18591880798339844,0.18591880798339844,0.18591880798339844,0.18591880798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,64,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4845142364501953,0.4845142364501953,0.4845142364501953,0.4845142364501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,128,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5096187591552734,1.5096187591552734,1.5096187591552734,1.5096187591552734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,256,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.591249465942383,5.591249465942383,5.591249465942383,5.591249465942383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,512,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.227453231811523,23.227453231811523,23.227453231811523,23.227453231811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,1024,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.03475284576416,84.03475284576416,84.03475284576416,84.03475284576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,32,2048,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408193588256836,0.3408193588256836,0.3408193588256836,0.3408193588256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,64,64,0,True,AttentionBackend.PYTORCH_NATIVE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93841552734375,0.93841552734375,0.93841552734375,0.93841552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,8,16,1,4096,64,128,0,True,AttentionBackend.PYTORCH_NATIVE
